path,size,lastModified
COMPLETION_PHASE3_DAY4_ISSUE_DETAIL_PAGE.md,19097,2025-11-02T20:15:11Z
CLAUDE.md,27942,2025-11-03T22:15:49Z
clauddesktop.md,7324,2025-11-02T20:15:11Z
DOCS_GENERATION_PROMPT.md,5801,2025-11-02T20:16:11Z
COMPLETION_WEEK_1.5_PHASE_3_DAY_4.md,20232,2025-11-02T20:15:11Z
COMPLETION_TEMPLATE.md,7079,2025-11-03T22:15:49Z
COMPLETION_PHASE3_TESTING_QA.md,19140,2025-11-02T20:15:11Z
COMPLETION_PHASE3_DAYS_5_6_FIVE_PAGES.md,18228,2025-11-02T20:15:11Z
DASHBOARD_TRANSFORMATION_COMPLETE.md,8190,2025-11-02T20:15:11Z
DASHBOARD_GAP_ANALYSIS.md,14613,2025-11-02T20:15:11Z
DIRECTORY_STRUCTURE.md,10817,2025-11-02T20:15:11Z
ISSUES_PAGE_FIXES_SUMMARY.md,6366,2025-11-02T20:15:11Z
gpt_discuss.md,11908,2025-11-03T22:15:49Z
GPT-5 Assistant Integration (Non-Disru.md,3601,2025-11-02T20:15:11Z
GEMINI.md,11576,2025-11-02T20:15:11Z
JUNIE.md,2165,2025-11-03T08:18:11Z
ISSUES_PAGE_FIX_PLAN.md,6922,2025-11-02T20:15:11Z
new_workflow_plan.md,7291,2025-11-02T20:15:12Z
THEME_SYSTEM_COMPLETE.md,11874,2025-11-02T20:15:12Z
WEEK_1_5_PHASE_1_COMPLETION.md,11394,2025-11-02T20:15:12Z
week1.5_audit.md,13326,2025-11-02T20:15:12Z
SESSION_START_QUICK_GUIDE.md,17228,2025-11-03T22:15:49Z
SESSION_START_GUIDE.md,11394,2025-11-03T22:15:49Z
STATUS.md,25999,2025-11-03T22:15:49Z
THEME_SYSTEM_IMPLEMENTATION.md,9969,2025-11-02T20:15:12Z
WEEK_1_DAYS_3_4_COMPLETION.md,18743,2025-11-02T20:15:12Z
WEEK_1_5_PHASE_2_COMPLETION.md,16167,2025-11-02T20:15:12Z
WEEK_1_DAY_2_COMPLETION.md,12622,2025-11-02T20:15:12Z
WEEK_1_DAY_5_COMPLETION.md,13738,2025-11-02T20:15:12Z
.claude/PHASE_5_COMPLETION.md,8381,2025-11-02T20:15:08Z
.claude/PHASES_6-8_COMPLETION.md,17958,2025-11-02T20:15:08Z
.claude/MCP_USAGE_GUIDE.md,11166,2025-11-02T20:15:08Z
.claude/MCP_TOOLS_RECOMMENDATIONS.md,8747,2025-11-02T20:15:08Z
.claude/MCP_CONFIGURATION_FIX.md,7874,2025-11-02T20:15:08Z
.junie/WORKFLOW_CONVENTIONS.md,2280,2025-11-03T08:18:11Z
.junie/SESSION_START_QUICK_GUIDE.md,1424,2025-11-03T08:18:11Z
.junie/README.md,2263,2025-11-03T08:18:11Z
.junie/JUNIE.md,4061,2025-11-03T08:18:11Z
.junie/INTEGRATION_PLAN.md,2700,2025-11-03T08:18:11Z
.junie/AGENTS_AND_SKILLS_BRIDGE.md,1947,2025-11-03T08:18:11Z
docs/WORKFLOW_ARCHITECTURE.md,27712,2025-11-03T22:15:49Z
docs/UI_TRANSFORMATION_PLAN.md,35351,2025-11-02T20:16:14Z
docs/README.md,6764,2025-11-02T20:15:11Z
docs/MIGRATION_GUIDE.md,26554,2025-11-02T20:16:14Z
docs/Executive Architecture Review — Moksha.md,5918,2025-11-02T20:15:11Z
docs/DEVELOPMENT_PLAN_AUDIT.md,7525,2025-11-02T20:15:11Z
docs/DEVELOPMENT_PLAN.md,153925,2025-11-03T22:15:49Z
docs/COMPLETION_PHASE_5_FINAL_INTEGRATION.md,14746,2025-11-02T20:15:11Z
mockups/THEMES_OVERVIEW.md,9141,2025-11-02T20:15:12Z
mockups/SUMMARY.md,11983,2025-11-02T20:15:11Z
mockups/README.md,13210,2025-11-02T20:15:11Z
mockups/QUICK_REFERENCE.md,9898,2025-11-02T20:15:11Z
mockups/MOCKUPS_COMPLETE.md,12825,2025-11-02T20:15:11Z
mockups/INDEX.md,11943,2025-11-02T20:15:11Z
mockups/DESIGN_DIRECTION.md,13978,2025-11-02T20:15:11Z
mockups/DESIGN_BRAINSTORM.md,14115,2025-11-02T20:15:11Z
theme/THEME_GUIDE.md,18213,2025-11-02T20:15:12Z
theme/README.md,10405,2025-11-02T20:15:12Z
theme/QUICK_REFERENCE.md,4576,2025-11-02T20:15:12Z
theme/COMPONENTS_REFERENCE.md,29065,2025-11-02T20:15:12Z
transcripts/transcript_frontend.md,12049,2025-11-02T20:15:12Z
transcripts/transcript_cursor.md,43704,2025-11-02T20:15:12Z
transcripts/transcript_context_management.md,13573,2025-11-02T20:15:12Z
transcripts/transcript_agent_work.md,18412,2025-11-02T20:15:12Z
transcripts/transcript_5_agents_wrapper.md,30793,2025-11-02T20:15:12Z
transcripts/transcript_react_grab.md,6800,2025-11-02T20:15:12Z
transcripts/transcript_management2.md,22940,2025-11-02T20:15:12Z
transcripts/transcript_management.md,18452,2025-11-02T20:15:12Z
transcripts/transcript_saas_workflow.md,32352,2025-11-02T20:15:12Z
transcripts/transcript_skills.md,6725,2025-11-02T20:15:12Z
docs/10-Observability-and-SRE.md,76068,2025-11-03T22:15:49Z
README.md,10929,2025-11-03T22:15:49Z
docs/09-Testing-and-QA.md,61530,2025-11-02T20:15:11Z
docs/08-Security-and-Compliance.md,47688,2025-11-02T20:15:11Z
docs/07-UI-UX.md,75495,2025-11-03T08:18:11Z
docs/07-QUICK-START.md,14118,2025-11-03T22:15:49Z
.cascade/INTEGRATION_COMPLETE.md,14871,2025-11-02T20:15:07Z
docs/13-Project-Plan.md,41748,2025-11-03T08:18:11Z
docs/12-Backlog.md,59284,2025-11-02T20:15:11Z
.cascade/GIT_WORKFLOW_INTEGRATION.md,15299,2025-11-02T20:15:07Z
docs/11-Infrastructure-and-Deployment.md,109979,2025-11-02T20:15:11Z
.cascade/GIT_WORKFLOW_GAP_SUMMARY.md,9954,2025-11-02T20:15:07Z
.cascade/GAP_ANALYSIS.md,11930,2025-11-02T20:15:07Z
.cascade/EXECUTIVE_SUMMARY.md,13187,2025-11-02T20:15:07Z
.cascade/CASCADE_WORKFLOW_GUIDE.md,13283,2025-11-02T20:15:07Z
.cascade/CASCADE_TEMPLATES.md,12249,2025-11-02T20:15:07Z
.cascade/CASCADE_RULES.md,10661,2025-11-02T20:15:07Z
.cascade/CASCADE_MEMORIES.md,13294,2025-11-02T20:15:07Z
.cascade/CASCADE_INTEGRATION_PLAN.md,6700,2025-11-02T20:15:07Z
.cascade/WINDSURFRULES_UPDATE.md,6428,2025-11-02T20:15:08Z
.cascade/TROUBLESHOOTING.md,10902,2025-11-02T20:15:08Z
planning_answers.md,7210,2025-11-02T20:15:12Z
.cascade/PHASE3_COMPLETE.md,5521,2025-11-02T20:15:08Z
.cascade/PHASE1_COMPLETE.md,9613,2025-11-02T20:15:08Z
.cascade/MIGRATION_CHECKLIST.md,9115,2025-11-02T20:15:07Z
.cascade/INTEGRATION_COMPLETE_FINAL.md,14228,2025-11-02T20:15:07Z
.cascade/QUICK_START.md,4031,2025-11-02T20:15:08Z
.cascade/PHASE4_COMPLETE.md,11710,2025-11-02T20:15:08Z
.cascade/README.md,12997,2025-11-02T20:15:08Z
docs/02-SRS.md,84985,2025-11-02T20:15:11Z
docs/02-DATABASE-SCHEMA.md,32660,2025-11-02T20:15:11Z
docs/01-PRD.md,25407,2025-11-03T08:18:11Z
docs/01-ARCHITECTURE.md,39821,2025-11-02T20:16:11Z
docs/00-INDEX.md,24059,2025-11-02T20:16:11Z
docs/04-Data-and-Model-Spec.md,91751,2025-11-02T20:15:11Z
docs/03-MCP-SPECIFICATION.md,27299,2025-11-02T20:16:12Z
docs/03-Architecture.md,101644,2025-11-03T22:15:49Z
docs/04-UI-ARCHITECTURE.md,37602,2025-11-02T20:15:11Z
docs/05-AgentOps-Plan.md,68597,2025-11-02T20:15:11Z
.claude/CRITICAL_MISTAKES.md,4692,2025-11-02T20:15:08Z
.claude/WORKFLOW_REMINDER.md,10634,2025-11-02T20:15:08Z
.claude/TROUBLESHOOTING_MCP.md,6298,2025-11-02T20:15:08Z
.agent/WORKFLOW_PROMPTS.md,28982,2025-11-03T22:15:49Z
.agent/WORKFLOW_ENHANCEMENT_SUMMARY.md,21819,2025-11-02T20:15:07Z
docs/audits/old-plan-references-audit-20251104.md,23776,2025-11-03T22:15:49Z
docs/audits/docs-deprecation-audit-20251104.md,8678,2025-11-03T22:43:31Z
mockups/Default theme/MOCKUPS_INDEX.md,9182,2025-11-02T20:15:11Z
.agent/project-brief.md,5975,2025-11-03T22:15:49Z
.agent/progress.md,15976,2025-11-02T20:15:07Z
.cascade/templates/session-starter.md,1902,2025-11-02T20:15:08Z
.cascade/templates/quick-commands.md,1460,2025-11-02T20:15:08Z
.claude/README.md,7000,2025-11-02T20:15:08Z
.claude/commands/update-doc.md,9681,2025-11-02T20:15:08Z
.claude/commands/refresh-skills.md,10958,2025-11-02T20:15:08Z
.claude/SKILLS_INDEX.md,7807,2025-11-02T20:15:08Z
.claude/scripts/measure-tokens.md,10950,2025-11-02T20:15:08Z
.claude/agents/devhub-testing.md,11539,2025-11-02T20:15:08Z
.claude/agents/devhub-mcp-specialist.md,13753,2025-11-02T20:15:08Z
.claude/agents/devhub-fullstack.md,9984,2025-11-02T20:15:08Z
.claude/agents/devhub-auditor.md,11011,2025-11-02T20:16:13Z
.claude/agents/devhub-architect.md,8708,2025-11-02T20:15:08Z
.claude/agents/analyze-architecture.md,15349,2025-11-02T20:15:08Z
.claude/agents/next-js-expert.md,16815,2025-11-02T20:15:08Z
.claude/agents/map-system.md,21439,2025-11-02T20:15:08Z
.claude/agents/explore-codebase.md,12717,2025-11-02T20:15:08Z
.claude/agents/react-expert.md,20171,2025-11-02T20:15:08Z
.claude/agents/prisma-expert.md,17756,2025-11-02T20:15:08Z
.claude/agents/synthesize-docs.md,21778,2025-11-02T20:15:08Z
.agent/metrics/token-optimization-results.md,13066,2025-11-02T20:15:07Z
.agent/workflows/persistence-rules.md,11573,2025-11-02T20:15:07Z
.agent/MASTER_WORKFLOW_ENHANCEMENT_PLAN.md,23739,2025-11-02T20:15:07Z
.agent/MANDATORY_SESSION_PROTOCOL.md,12366,2025-11-03T22:15:49Z
.agent/INDUSTRY_GRADE_DOCS_METHODOLOGY.md,39583,2025-11-03T22:15:49Z
.agent/system/memory-mcp-strategy.md,13495,2025-11-02T20:15:07Z
.agent/system/mcp-tools-guide.md,11734,2025-11-03T22:15:49Z
.agent/system/database-schema.md,27365,2025-11-02T20:15:07Z
.agent/system/component-patterns.md,43745,2025-11-02T20:15:07Z
.agent/system/api-catalog.md,22548,2025-11-02T20:15:07Z
docs/architecture/ADRs/ADR-005-five-level-hierarchy.md,2841,2025-11-02T20:15:11Z
